,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
41,Jeep Compass 1.4 Limited Plus BSIV,2019.0,210000.0,5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.0,250Nm@ 1750-2500rpm,5.0,4
49,Mercedes-Benz B Class B180,2014.0,145000.0,27800.0,Diesel,Dealer,Automatic,Second Owner,14.0,2143.0,120.0,200Nm@ 1250-4000rpm,5.0,4
57,Audi A6 2.0 TDI Technology,2013.0,175000.0,33900.0,Diesel,Dealer,Automatic,Second Owner,17.0,1968.0,174.0,380Nm@ 1750-2500rpm,5.0,4
58,Toyota Corolla Altis 1.8 VL CVT,2018.0,159000.0,25000.0,Petrol,Dealer,Automatic,First Owner,14.0,1798.0,138.0,173Nm@ 4000rpm,5.0,4
59,Audi A6 2.0 TDI  Design Edition,2013.0,168999.9,50000.0,Diesel,Dealer,Automatic,First Owner,18.0,1968.0,187.0,400Nm@ 1750-3000rpm,5.0,4
60,Mercedes-Benz New C-Class 220 CDI AT,2013.0,142500.0,59000.0,Diesel,Dealer,Automatic,First Owner,14.0,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,4
82,BMW X1 sDrive20i xLine,2016.0,250000.0,30000.0,Petrol,Individual,Automatic,Second Owner,15.0,1998.0,189.0,280Nm@ 1350-4600rpm,5.0,4
110,Mahindra XUV500 W11 Option AWD,2019.0,170000.0,32000.0,Diesel,Individual,Manual,First Owner,15.0,2179.0,155.0,360Nm@ 1750-2800rpm,7.0,4
131,Audi Q5 35TDI Premium Plus,2018.0,397500.0,31800.0,Diesel,Dealer,Automatic,First Owner,17.0,1968.0,188.0,400nm@ 1750-3000rpm,5.0,4
132,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
133,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
134,Jeep Wrangler 2016-2019 3.6 4X4,2017.0,410000.0,17000.0,Petrol,Individual,Automatic,First Owner,9.0,3604.0,280.0,347Nm@ 4300rpm,5.0,4
135,Land Rover Discovery Sport TD4 SE,2019.0,450000.0,21000.0,Diesel,Dealer,Automatic,First Owner,12.0,1999.0,148.0,382nm@ 1750-2250rpm,7.0,4
136,Mercedes-Benz S-Class S 350 CDI,2017.0,600000.0,37000.0,Diesel,Dealer,Automatic,First Owner,13.0,2987.0,254.0,620Nm@ 1600-2400rpm,5.0,4
137,BMW 5 Series 520d Sport Line,2018.0,379000.0,29500.0,Diesel,Dealer,Automatic,First Owner,22.0,1995.0,187.0,400Nm@ 1750-2500rpm,5.0,4
139,BMW X4 M Sport X xDrive20d,2019.0,580000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
140,Skoda Superb LK 1.8 TSI AT,2018.0,186499.9,50000.0,Petrol,Dealer,Automatic,First Owner,14.0,1798.0,177.0,250@ 1250-5000rpm,5.0,4
141,Mercedes-Benz E-Class E250 Edition E,2016.0,270000.0,35000.0,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0,4
145,Volvo XC40 D4 R-Design,2018.0,340000.0,22000.0,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
146,Audi Q7 35 TDI Quattro Premium,2015.0,265000.0,53000.0,Diesel,Dealer,Automatic,First Owner,12.0,2967.0,241.0,550Nm@ 1750-2750rpm,7.0,4
148,Mercedes-Benz S-Class S 350 CDI,2017.0,585000.0,47000.0,Diesel,Dealer,Automatic,First Owner,13.0,2987.0,282.0,490Nm@ 1600rpm,5.0,4
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
156,Mercedes-Benz CLA 200 CGI Sport,2018.0,255000.0,18000.0,Petrol,Dealer,Automatic,First Owner,15.0,1991.0,183.0,300Nm@ 1200-4000rpm,5.0,4
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017.0,270000.0,16000.0,Petrol,Dealer,Automatic,First Owner,14.0,1991.0,181.0,300Nm@ 1200-1400rpm,5.0,4
165,BMW 3 Series 320d Luxury Line,2016.0,215000.0,30000.0,Diesel,Dealer,Automatic,First Owner,22.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
166,Toyota Camry 2.5 Hybrid,2016.0,190000.0,41000.0,Petrol,Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
167,BMW 5 Series 520d Luxury Line,2016.0,290000.0,12000.0,Diesel,Dealer,Automatic,First Owner,18.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
170,Volvo XC90 T8 Excellence BSIV,2017.0,1000000.0,30000.0,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,640Nm@ 1740rpm,4.0,4
212,Tata Hexa XE,2019.0,125000.0,15000.0,Diesel,Individual,Manual,First Owner,17.0,2179.0,147.0,320Nm@ 1500-3000rpm,7.0,4
257,Tata Hexa XTA,2017.0,138000.0,50000.0,Diesel,Individual,Automatic,First Owner,17.0,2179.0,153.0,400Nm@ 1750-2500rpm,7.0,4
288,Mercedes-Benz GL-Class 220d 4MATIC Sport,2018.0,460000.0,7976.0,Diesel,Individual,Automatic,First Owner,17.0,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,4
350,Toyota Fortuner 2.8 2WD MT BSIV,2018.0,300000.0,35000.0,Diesel,Individual,Manual,First Owner,14.0,2755.0,174.0,420Nm@ 1400-2600rpm,7.0,4
362,Mercedes-Benz New C-Class 220 CDI AT,2013.0,155000.0,25000.0,Diesel,Individual,Automatic,First Owner,14.0,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,4
369,Volkswagen GTI 1.8 TSI,2016.0,80000.0,70000.0,Petrol,Individual,Automatic,First Owner,16.0,1798.0,189.0,250Nm@ 1250-5300rpm,5.0,4
370,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
371,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
372,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
374,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
375,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
384,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
385,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
388,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
404,Mahindra XUV500 AT W10 AWD,2016.0,129000.0,50000.0,Diesel,Individual,Automatic,First Owner,16.0,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,4
409,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
410,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
411,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
413,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
414,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
423,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
424,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
427,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
452,Tata Hexa XT,2018.0,152500.0,50000.0,Diesel,Individual,Manual,First Owner,17.0,2179.0,153.0,400Nm@ 1750-2500rpm,7.0,4
526,Jeep Compass 2.0 Longitude Option BSIV,2018.0,160000.0,14000.0,Diesel,Individual,Manual,First Owner,17.0,1956.0,170.0,350Nm@ 1750-2500rpm,5.0,4
550,Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,180000.0,30000.0,Diesel,Individual,Automatic,First Owner,11.0,2755.0,171.0,360Nm@ 1200-3400rpm,7.0,4
569,Jeep Compass 2.0 Limited,2017.0,165000.0,50000.0,Diesel,Individual,Manual,First Owner,17.0,1956.0,170.0,350Nm@ 1750-2500rpm,5.0,4
646,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
647,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
648,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
650,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
651,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
660,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
661,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
664,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
681,Mercedes-Benz E-Class E250 CDI Avantgarde,2016.0,300000.0,40000.0,Diesel,Individual,Automatic,First Owner,13.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0,4
742,Mahindra XUV500 W10 2WD,2017.0,162500.0,54000.0,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,4
829,Mahindra XUV500 W10 1.99 mHawk,2016.0,116500.0,50000.0,Diesel,Individual,Manual,First Owner,16.0,1997.0,140.0,320Nm@ 1600-2800rpm,7.0,4
906,Audi A4 2.0 TDI,2014.0,160000.0,44000.0,Diesel,Individual,Automatic,Second Owner,16.0,1968.0,147.0,320Nm@ 1750-2500rpm,5.0,4
970,Toyota Innova Crysta 2.8 GX AT BSIV,2018.0,174500.0,10000.0,Diesel,Individual,Automatic,First Owner,11.0,2755.0,171.0,360Nm@ 1200-3400rpm,7.0,4
1057,BMW X6 xDrive30d,2013.0,375000.0,56000.0,Diesel,Dealer,Automatic,First Owner,11.0,2993.0,241.0,540Nm@ 2000rpm,4.0,4
1060,Mercedes-Benz E-Class E250 CDI Avantgarde,2016.0,290000.0,31000.0,Diesel,Dealer,Automatic,First Owner,13.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0,4
1063,Toyota Corolla Altis 1.8 G,2018.0,140000.0,13534.0,Petrol,Dealer,Manual,First Owner,14.0,1798.0,138.0,173Nm@ 4000rpm,5.0,4
1064,Toyota Corolla Altis 1.8 VL AT,2017.0,145000.0,7000.0,Petrol,Dealer,Automatic,Second Owner,14.0,1794.0,138.0,173Nm@ 4000rpm,5.0,4
1065,Mercedes-Benz GLA Class 200 CDI SPORT,2017.0,270000.0,23000.0,Diesel,Dealer,Automatic,First Owner,17.0,2143.0,136.0,300Nm@ 1600-3000rpm,5.0,4
1066,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019.0,192500.0,43000.0,Diesel,Dealer,Automatic,First Owner,11.0,2755.0,171.0,360Nm@ 1200-3400rpm,8.0,4
1071,BMW 6 Series GT 630d Luxury Line,2018.0,600000.0,28156.0,Diesel,Dealer,Automatic,First Owner,17.0,2993.0,261.0,620Nm@ 2000-2500rpm,4.0,4
1073,Toyota Fortuner 2.8 2WD AT BSIV,2018.0,294000.0,100000.0,Diesel,Dealer,Automatic,First Owner,12.0,2755.0,174.0,450Nm@ 1600-2400rpm,7.0,4
1077,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1078,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
1079,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1081,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
1082,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
1091,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1092,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1095,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
1096,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1097,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
1098,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1100,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
1101,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
1110,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1111,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1114,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
1115,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1116,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
1117,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1119,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
1120,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
1129,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1130,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1133,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
1134,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1135,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
1136,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1138,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
1139,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
1148,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1149,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1152,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
1218,Tata Safari Storme EX,2017.0,110000.0,20000.0,Diesel,Individual,Manual,First Owner,14.0,2179.0,147.0,320Nm@ 1500-3000rpm,7.0,4
1255,Mercedes-Benz New C-Class 220 CDI AT,2012.0,140000.0,50000.0,Diesel,Individual,Automatic,First Owner,14.0,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,4
1410,Jeep Compass 2.0 Limited 4X4,2017.0,195000.0,70000.0,Diesel,Individual,Manual,First Owner,16.0,1956.0,170.0,350Nm@ 1750-2500rpm,5.0,4
1411,Audi Q5 2.0 TDI,2011.0,130000.0,120000.0,Diesel,Individual,Automatic,First Owner,12.0,1968.0,167.0,350Nm@ 1750-2500rpm,5.0,4
1440,BMW X1 sDrive20d M Sport,2011.0,107500.0,42545.0,Diesel,Dealer,Automatic,First Owner,19.0,1998.0,190.0,400nm@ 1750-2500rpm,5.0,4
1530,Ford Endeavour 3.2 Titanium AT 4X4,2018.0,325000.0,12000.0,Diesel,Individual,Automatic,First Owner,10.0,3198.0,197.0,470Nm@ 1750-2500rpm,7.0,4
1540,Toyota Fortuner 2.8 2WD AT BSIV,2018.0,290000.0,49000.0,Diesel,Individual,Automatic,First Owner,12.0,2755.0,174.0,450Nm@ 1600-2400rpm,7.0,4
1561,Audi Q5 35TDI Premium Plus,2018.0,397500.0,31800.0,Diesel,Dealer,Automatic,First Owner,17.0,1968.0,188.0,400nm@ 1750-3000rpm,5.0,4
1562,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
1563,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1564,Jeep Wrangler 2016-2019 3.6 4X4,2017.0,410000.0,17000.0,Petrol,Individual,Automatic,First Owner,9.0,3604.0,280.0,347Nm@ 4300rpm,5.0,4
1572,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
1586,Tata Hexa XT,2018.0,157500.0,30000.0,Diesel,Individual,Manual,First Owner,17.0,2179.0,153.0,400Nm@ 1750-2500rpm,7.0,4
1590,Tata Hexa XT,2018.0,157500.0,25000.0,Diesel,Individual,Manual,First Owner,17.0,2179.0,153.0,400Nm@ 1750-2500rpm,7.0,4
1636,Mahindra Scorpio S11 BSIV,2018.0,146500.0,110000.0,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,320Nm@ 1500-2800rpm,7.0,4
1674,Volkswagen Jetta 2.0L TDI Highline AT,2016.0,135000.0,97000.0,Diesel,Individual,Automatic,First Owner,16.0,1968.0,138.0,320Nm@ 1750-2500rpm,5.0,4
1709,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1710,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
1711,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
1713,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
1714,Toyota Camry 2.5 Hybrid,2016.0,200000.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
1723,BMW X4 M Sport X xDrive20d,2019.0,540000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1724,BMW X4 M Sport X xDrive20d,2019.0,550000.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
1727,Volvo V40 D3 R-Design,2018.0,247500.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.0,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,4
1737,Tata Hexa XE,2018.0,125000.0,25000.0,Diesel,Individual,Manual,First Owner,17.0,2179.0,147.0,320Nm@ 1500-3000rpm,7.0,4
1748,Toyota Fortuner 2.8 4WD AT BSIV,2017.0,295000.0,50000.0,Diesel,Individual,Automatic,First Owner,15.0,2755.0,174.0,450Nm@ 1600-2400rpm,7.0,4
1752,Mahindra XUV500 W10 2WD,2017.0,132500.0,54000.0,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,4
1767,Jeep Compass 2.0 Longitude Option BSIV,2018.0,167500.0,80000.0,Diesel,Individual,Manual,First Owner,17.0,1956.0,170.0,350Nm@ 1750-2500rpm,5.0,4
1821,Toyota Fortuner 2.8 4WD MT BSIV,2018.0,320000.0,50000.0,Diesel,Individual,Manual,First Owner,14.0,2755.0,174.0,420Nm@ 1400-2600rpm,7.0,4
1828,Volvo XC40 D4 Inscription BSIV,2019.0,380000.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
1830,Ford Endeavour 3.2 Titanium AT 4X4,2018.0,325000.0,12000.0,Diesel,Individual,Automatic,First Owner,10.0,3198.0,197.0,470Nm@ 1750-2500rpm,7.0,4
1834,Toyota Fortuner 2.8 4WD AT BSIV,2018.0,320000.0,60000.0,Diesel,Individual,Automatic,First Owner,15.0,2755.0,174.0,450Nm@ 1600-2400rpm,7.0,4
1835,Mahindra XUV500 W10 1.99 mHawk,2018.0,140000.0,30000.0,Diesel,Individual,Manual,First Owner,16.0,1997.0,140.0,320Nm@ 1600-2800rpm,7.0,4
1857,Audi Q5 35TDI Premium Plus,2018.0,397500.0,31800.0,Diesel,Dealer,Automatic,First Owner,17.0,1968.0,188.0,400nm@ 1750-3000rpm,5.0,4
